Time: 1715822245.895524, Delay: 73.47297668457031 ms
Time: 1715822246.191042, Delay: 77.12960243225098 ms
Time: 1715822246.483405, Delay: 74.11885261535645 ms
Time: 1715822246.776997, Delay: 76.55620574951172 ms
Time: 1715822247.0680351, Delay: 74.16605949401855 ms
Time: 1715822247.3602612, Delay: 75.13642311096191 ms
Time: 1715822247.653274, Delay: 74.47624206542969 ms
Time: 1715822247.943258, Delay: 69.96631622314453 ms
Time: 1715822248.240847, Delay: 81.01820945739746 ms
Time: 1715822248.529118, Delay: 72.70288467407227 ms
Time: 1715822248.821431, Delay: 73.48108291625977 ms
Time: 1715822249.1139781, Delay: 73.8837718963623 ms
Time: 1715822249.4094698, Delay: 77.59785652160645 ms
Time: 1715822249.7020092, Delay: 74.04780387878418 ms
Time: 1715822249.9974499, Delay: 74.9349594116211 ms
Time: 1715822250.304091, Delay: 85.5097770690918 ms
Time: 1715822250.596013, Delay: 73.6391544342041 ms
Time: 1715822250.888191, Delay: 74.83339309692383 ms
Time: 1715822251.180872, Delay: 74.2342472076416 ms
Time: 1715822251.47366, Delay: 74.78809356689453 ms
Time: 1715822251.764315, Delay: 73.15707206726074 ms
Time: 1715822252.0615838, Delay: 76.29656791687012 ms
Time: 1715822252.3517828, Delay: 72.91054725646973 ms
Time: 1715822252.645482, Delay: 75.04129409790039 ms
Time: 1715822252.937951, Delay: 75.82855224609375 ms
Time: 1715822253.2296379, Delay: 74.11885261535645 ms
Time: 1715822253.522982, Delay: 74.60355758666992 ms
Time: 1715822253.813741, Delay: 74.05853271484375 ms
Time: 1715822254.101541, Delay: 70.81818580627441 ms
Time: 1715822254.395115, Delay: 74.87201690673828 ms
Time: 1715822254.691234, Delay: 77.27289199829102 ms
Time: 1715822254.982605, Delay: 74.19610023498535 ms
Time: 1715822255.274752, Delay: 75.29640197753906 ms
Time: 1715822255.567662, Delay: 74.50270652770996 ms
Time: 1715822255.860566, Delay: 73.25267791748047 ms
Time: 1715822256.147149, Delay: 67.43192672729492 ms
Time: 1715822256.439349, Delay: 74.65529441833496 ms
Time: 1715822256.731771, Delay: 73.97699356079102 ms
Time: 1715822257.023249, Delay: 72.90816307067871 ms
Time: 1715822257.315212, Delay: 73.27437400817871 ms
Time: 1715822257.6086998, Delay: 73.90022277832031 ms
Time: 1715822257.9001868, Delay: 73.60696792602539 ms
Time: 1715822258.192704, Delay: 73.24838638305664 ms
Time: 1715822258.490491, Delay: 76.5523910522461 ms
Time: 1715822258.7857091, Delay: 77.46267318725586 ms
Time: 1715822259.077919, Delay: 72.52764701843262 ms
Time: 1715822259.369493, Delay: 73.49038124084473 ms
Time: 1715822259.660562, Delay: 72.71814346313477 ms
Time: 1715822259.953656, Delay: 76.19214057922363 ms
Time: 1715822260.245652, Delay: 70.39165496826172 ms
Time: 1715822260.53871, Delay: 74.20706748962402 ms
Time: 1715822260.83412, Delay: 77.78406143188477 ms
Time: 1715822261.127614, Delay: 74.36633110046387 ms
Time: 1715822261.418539, Delay: 72.57485389709473 ms
Time: 1715822261.7109492, Delay: 75.58441162109375 ms
Time: 1715822262.0039098, Delay: 74.19371604919434 ms
Time: 1715822262.29746, Delay: 74.52058792114258 ms
Time: 1715822262.591904, Delay: 73.21906089782715 ms
Time: 1715822262.887178, Delay: 76.31778717041016 ms
Time: 1715822263.177464, Delay: 71.0599422454834 ms
Time: 1715822263.4691432, Delay: 72.99280166625977 ms
Time: 1715822263.76035, Delay: 72.41630554199219 ms
Time: 1715822264.053201, Delay: 74.188232421875 ms
Time: 1715822264.344927, Delay: 73.45080375671387 ms
Time: 1715822264.6316721, Delay: 70.81937789916992 ms
Time: 1715822264.924599, Delay: 75.03056526184082 ms
Time: 1715822265.216882, Delay: 74.03302192687988 ms
Time: 1715822265.509774, Delay: 73.29845428466797 ms
Time: 1715822265.804945, Delay: 76.09915733337402 ms
Time: 1715822266.0976992, Delay: 73.38142395019531 ms
Time: 1715822266.390896, Delay: 76.10559463500977 ms
Time: 1715822266.683109, Delay: 73.04549217224121 ms
Time: 1715822266.9731698, Delay: 73.89163970947266 ms
Time: 1715822267.265854, Delay: 76.53689384460449 ms
Time: 1715822267.5582101, Delay: 73.5936164855957 ms
Time: 1715822267.8507252, Delay: 74.80978965759277 ms
Time: 1715822268.143378, Delay: 73.41480255126953 ms
Time: 1715822268.435232, Delay: 75.22773742675781 ms
Time: 1715822268.7269561, Delay: 74.16224479675293 ms
Time: 1715822269.01886, Delay: 74.16963577270508 ms
Time: 1715822269.3104808, Delay: 73.97127151489258 ms
Time: 1715822269.603518, Delay: 75.75821876525879 ms
Time: 1715822269.895699, Delay: 74.94544982910156 ms
Time: 1715822270.187388, Delay: 72.97682762145996 ms
Time: 1715822270.4793, Delay: 72.95513153076172 ms
Time: 1715822270.767967, Delay: 71.53511047363281 ms
Time: 1715822271.0590239, Delay: 73.6846923828125 ms
Time: 1715822271.351878, Delay: 75.19102096557617 ms
Time: 1715822271.64396, Delay: 75.28519630432129 ms
Time: 1715822271.9363048, Delay: 74.5248794555664 ms
Time: 1715822272.2319438, Delay: 76.94554328918457 ms
Time: 1715822272.520708, Delay: 69.72646713256836 ms
Time: 1715822272.817038, Delay: 77.78739929199219 ms
Time: 1715822273.109788, Delay: 75.91032981872559 ms
Time: 1715822273.403279, Delay: 75.63638687133789 ms
Time: 1715822273.696203, Delay: 75.90651512145996 ms
Time: 1715822273.987038, Delay: 72.68571853637695 ms
Time: 1715822274.279903, Delay: 75.77919960021973 ms
Time: 1715822274.56787, Delay: 70.88899612426758 ms
Time: 1715822274.864633, Delay: 78.48715782165527 ms
Time: 1715822275.1555011, Delay: 73.94671440124512 ms
Time: 1715822275.443435, Delay: 70.41501998901367 ms
Time: 1715822275.735693, Delay: 74.85103607177734 ms
Time: 1715822276.0266418, Delay: 72.11065292358398 ms
Time: 1715822276.319943, Delay: 74.53107833862305 ms
Time: 1715822276.612391, Delay: 75.69575309753418 ms
Time: 1715822276.9056919, Delay: 73.83298873901367 ms
Time: 1715822277.200534, Delay: 75.72650909423828 ms
Time: 1715822277.492953, Delay: 72.53241539001465 ms
Time: 1715822277.7856169, Delay: 74.08022880554199 ms
Time: 1715822278.078177, Delay: 75.26445388793945 ms
Time: 1715822278.368553, Delay: 72.4191665649414 ms
Time: 1715822278.66402, Delay: 75.16884803771973 ms
Time: 1715822278.954313, Delay: 71.37537002563477 ms
Time: 1715822279.245091, Delay: 71.89583778381348 ms
Time: 1715822279.5375721, Delay: 74.56183433532715 ms
Time: 1715822279.8307981, Delay: 75.94966888427734 ms
Time: 1715822280.1231139, Delay: 73.31109046936035 ms
Time: 1715822280.416976, Delay: 75.87027549743652 ms
Time: 1715822280.709135, Delay: 74.06091690063477 ms
Time: 1715822281.000494, Delay: 72.8616714477539 ms
Time: 1715822281.292999, Delay: 72.57318496704102 ms
Time: 1715822281.581585, Delay: 73.03929328918457 ms
Time: 1715822281.8740852, Delay: 73.87518882751465 ms
Time: 1715822282.169502, Delay: 76.24197006225586 ms
Time: 1715822282.462347, Delay: 74.61261749267578 ms
Time: 1715822282.7544441, Delay: 73.19760322570801 ms
Time: 1715822283.051677, Delay: 78.37605476379395 ms
Time: 1715822283.342249, Delay: 72.98469543457031 ms
Time: 1715822283.630194, Delay: 73.29130172729492 ms
Time: 1715822283.922904, Delay: 74.39947128295898 ms
Time: 1715822284.2152371, Delay: 73.37093353271484 ms
Time: 1715822284.5106518, Delay: 76.3704776763916 ms
Time: 1715822284.8033469, Delay: 73.74787330627441 ms
Time: 1715822285.096448, Delay: 73.32634925842285 ms
Time: 1715822285.391905, Delay: 74.14102554321289 ms
Time: 1715822285.687974, Delay: 78.16529273986816 ms
Time: 1715822285.97639, Delay: 73.15921783447266 ms
Time: 1715822286.2693539, Delay: 74.65934753417969 ms
Time: 1715822286.56269, Delay: 75.21510124206543 ms
Time: 1715822286.857198, Delay: 75.76203346252441 ms
Time: 1715822287.156516, Delay: 77.8958797454834 ms
Time: 1715822287.459739, Delay: 82.60035514831543 ms
Time: 1715822287.751422, Delay: 73.39739799499512 ms
Time: 1715822288.044393, Delay: 74.90015029907227 ms
Time: 1715822288.336738, Delay: 73.17209243774414 ms
Time: 1715822288.628948, Delay: 73.8229751586914 ms
Time: 1715822288.919774, Delay: 72.29399681091309 ms
Time: 1715822289.217427, Delay: 72.38578796386719 ms
Time: 1715822289.510572, Delay: 73.59051704406738 ms
Time: 1715822289.8108218, Delay: 77.93498039245605 ms
Time: 1715822290.103161, Delay: 74.63264465332031 ms
Time: 1715822290.396228, Delay: 72.7691650390625 ms
Time: 1715822290.687197, Delay: 72.96895980834961 ms
Time: 1715822290.978694, Delay: 72.08657264709473 ms
Time: 1715822291.270595, Delay: 72.59154319763184 ms
Time: 1715822291.5667999, Delay: 75.1638412475586 ms
Time: 1715822291.859745, Delay: 74.90777969360352 ms
Time: 1715822292.150552, Delay: 72.2646713256836 ms
Time: 1715822292.446411, Delay: 75.6678581237793 ms
Time: 1715822292.742768, Delay: 76.40862464904785 ms
Time: 1715822293.0357802, Delay: 75.47163963317871 ms
Time: 1715822293.327904, Delay: 72.74031639099121 ms
Time: 1715822293.62333, Delay: 72.99065589904785 ms
Time: 1715822293.912097, Delay: 73.0583667755127 ms
Time: 1715822294.199272, Delay: 68.77255439758301 ms
Time: 1715822294.489894, Delay: 71.23470306396484 ms
Time: 1715822294.783398, Delay: 74.59807395935059 ms
Time: 1715822295.0760598, Delay: 73.19521903991699 ms
Time: 1715822295.363075, Delay: 72.01147079467773 ms
Time: 1715822295.651367, Delay: 71.30289077758789 ms
Time: 1715822295.942227, Delay: 72.41272926330566 ms
Time: 1715822296.235351, Delay: 73.71735572814941 ms
Time: 1715822296.52806, Delay: 72.62969017028809 ms
Time: 1715822296.8228512, Delay: 75.76417922973633 ms
Time: 1715822297.115392, Delay: 73.95482063293457 ms
Time: 1715822297.408988, Delay: 74.77927207946777 ms
Time: 1715822297.700495, Delay: 75.40249824523926 ms
Time: 1715822297.9916291, Delay: 71.19202613830566 ms
Time: 1715822298.28463, Delay: 74.04136657714844 ms
Time: 1715822298.5818791, Delay: 77.76045799255371 ms
Time: 1715822298.8742201, Delay: 72.65996932983398 ms
Time: 1715822299.171189, Delay: 76.04455947875977 ms
Time: 1715822299.465991, Delay: 75.59466361999512 ms
Time: 1715822299.759259, Delay: 73.72736930847168 ms
Time: 1715822300.0519419, Delay: 75.15525817871094 ms
Time: 1715822300.342582, Delay: 73.70972633361816 ms
Time: 1715822300.635846, Delay: 74.07402992248535 ms
Time: 1715822300.9279392, Delay: 73.10080528259277 ms
Time: 1715822301.22453, Delay: 75.77776908874512 ms
Time: 1715822301.516681, Delay: 72.20602035522461 ms
Time: 1715822301.812285, Delay: 73.85945320129395 ms
Time: 1715822302.105161, Delay: 74.9661922454834 ms
Time: 1715822302.396887, Delay: 72.56960868835449 ms
Time: 1715822302.6933692, Delay: 75.92034339904785 ms
Time: 1715822302.988401, Delay: 74.24449920654297 ms
Time: 1715822303.281518, Delay: 73.96125793457031 ms
Time: 1715822303.573527, Delay: 73.97913932800293 ms
